rows,cols,time
1,30,0.13286113739013672
23,30,0.464318037033081
230,30,0.5622293949127197
2306,30,0.498018741607666
4600,30,0.4993109703063965
11500,30,0.5505375862121582
23000,30,0.7357432842254639
45000,30,0.7403993606567383
112293,30,0.6746091842651367
230923,30,0.7968258857727051
461844,30,1.0817317962646484
1160406,30,2.0323269367218018
